window_start	window_end	window_mid	pwsdel_retained_maternal_mean	n_pwsdel_samples	asdel_retained_paternal_mean	n_asdel_samples	reciprocal_delta	reciprocal_delta_smoothed	abs_reciprocal_delta_smoothed	boundary_threshold	delta_state
17831000	17832000	17831500	0.7441428571428572	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17832000	17833000	17832500	0.7366666666666667	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17833000	17834000	17833500	0.2220728155339806	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17834000	17835000	17834500	0.5780714285714286	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17835000	17836000	17835500	0.7653333333333334	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17836000	17837000	17836500	0.8600479784366577	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17837000	17838000	17837500	0.44740853658536583	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17838000	17839000	17838500	0.7020395833333333	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17839000	17840000	17839500	0.6806666666666668	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17840000	17841000	17840500	0.8533983739837399	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17841000	17842000	17841500	0.6481340909090909	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17842000	17843000	17842500	0.7909924242424242	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17843000	17844000	17843500	0.3161222038111019	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17844000	17845000	17844500	0.6975	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17845000	17846000	17845500	0.649630890052356	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17846000	17847000	17846500	0.4285046279155868	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17847000	17848000	17847500	0.636205037132421	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17848000	17849000	17848500	0.6336750000000001	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17849000	17850000	17849500	0.6586355721393035	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17850000	17851000	17850500	0.9340000000000002	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17851000	17852000	17851500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17852000	17853000	17852500	0.8200546594982079	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17853000	17854000	17853500	0.7267229007633588	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17854000	17855000	17854500	0.6678141410352587	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17855000	17856000	17855500	0.8866992488443759	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17856000	17857000	17856500	0.696067348678602	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
