window_start	window_end	window_mid	mean_meth_haplotype1	mean_meth_haplotype2	control_maternal_mean	mean_meth_haplotype1_smoothed	mean_meth_haplotype2_smoothed	control_maternal_mean_smoothed
20807000	20808000	20807500	0.9276531791907516	0.8272	0.9232638036809816	0.8606931818181818	0.8656923076923078	0.8863249366171676
20808000	20809000	20808500	0.6770800970873788	0.6993707865168539	0.7698416005291004	0.8606931818181818	0.8818633540372672	0.8872699763593381
20809000	20810000	20809500	0.8606931818181818	0.8499785714285715	0.8984325120268206	0.8465079365079365	0.8566411764705882	0.8872699763593381
20810000	20811000	20810500	0.8678826979472142	0.8924767025089605	0.8872699763593381	0.8345812220566319	0.8555454545454547	0.8872699763593381
20811000	20812000	20811500	0.8092232558139535	0.8555454545454547	0.8691770707147184	0.8345812220566319	0.8555454545454547	0.8872699763593381
20812000	20813000	20812500	0.9537092592592592	0.9570929648241208	0.9696393520272832	0.8345812220566319	0.8499785714285715	0.8872699763593381
20813000	20814000	20813500	0.8345812220566319	0.92673820754717	0.9140161926605505	0.8345812220566319	0.8499785714285715	0.8872699763593381
20814000	20815000	20814500	0.9441223958333332	0.974148068669528	0.9372768411712512	0.8345812220566319	0.8499785714285715	0.8872699763593381
20815000	20816000	20815500	0.8757899761336516	0.7766288659793814	0.7543216552088843	0.8476372019374068	0.852762012987013	0.8928512441930794
20816000	20817000	20816500	0.931977777777778	0.8884578754578754	0.933275	0.8606931818181818	0.8555454545454547	0.8984325120268206
20817000	20818000	20817500	0.914637526652452	0.9517727272727272	0.9480673575129532	0.8606931818181818	0.8555454545454547	0.8984325120268206
20818000	20819000	20818500	0.8075927475592749	0.744323992994746	0.839413654618474	0.8606931818181818	0.8555454545454547	0.8984325120268206
20819000	20820000	20819500	0.7797692307692308	0.8976274509803921	0.8375939086294416	0.8576898734177214	0.8555454545454547	0.8872699763593381
20820000	20821000	20820500	0.927502311248074	0.93242287694974	0.9265098039215686	0.8576898734177214	0.8566411764705882	0.8872699763593381
